gene,detection,pct_change
YIF1B,0.0738,4.51
SARS2,0.0676,-8.4
PAF1,0.0524,-7.2
EID2B,0.0584,0.51
DYRK1B,0.0752,3.62
FBL,0.0464,-8.59
PSMC4,0.0756,-7.42
C19orf47,0.0485,10.08
C19orf54,0.0516,17.34
SNRPA,0.0555,-3.41
CCDC97,0.069,-2.02
DMAC2,0.0503,3.98
DEDD2,0.0482,-8.87
LIPE,0.0663,-23.48
CEACAM1,0.0506,-33.65
AC004784.1,0.0629,-21.3
PINLYP,0.0518,-11.06
ZNF576,0.0554,-5.76
PLAUR,0.0462,-11.28
ZNF221,0.0537,7.8
ZNF223,0.0502,-2.35
ZNF225,0.0528,-0.65
ZNF180,0.0746,5.28
RELB,0.0521,10.2
PPP1R37,0.0628,2.79
SNRPD2,0.0691,-21.8
QPCTL,0.051,6.78
SIX5,0.0658,4.26
CCDC61,0.0587,-6.38
CCDC8,0.0603,4.8
PNMA8A,0.0473,-0.65
AP2S1,0.0688,-5.8
CCDC9,0.053,-13.37
C5AR1,0.0487,6.3
SLC8A2,0.0553,0.28
KPTN,0.0496,-5.98
NAPA-AS1,0.0498,-14.78
BICRA,0.0674,-0.18
NOP53,0.0539,-1.96
EMP3,0.0733,-5.44
GRIN2D,0.0469,-17.14
NTN5,0.0713,-13.62
MAMSTR,0.0708,-5.51
PLEKHA4,0.0652,-12.17
BAX,0.0755,-9.59
FLT3LG,0.0482,14.53
FUZ,0.0614,-7.73
AKT1S1,0.0564,8.65
NUP62,0.0593,2.75
AC010624.5,0.0605,35.14
KCNC3,0.0646,8.46
POLD1,0.0487,5.42
JOSD2,0.0558,-5.74
SHANK1,0.0637,6.4
CLEC11A,0.0617,-23.51
ZNF613,0.0641,-1.93
ZNF614,0.0626,8.85
ZNF841,0.0497,5.96
ZNF616,0.0638,9.34
ZNF836,0.0498,3.02
ZNF880,0.0656,-8.02
ZNF534,0.0621,2.72
ZNF578,0.0699,-0.4
ZNF28,0.0531,12.73
LENG9,0.0583,-33.31
AC011476.3,0.057,-13.13
GP6,0.0562,-14.57
TNNT1,0.0588,5.17
HSPBP1,0.058,2.59
ISOC2,0.0509,-1.01
SSC5D,0.0752,28.25
ZNF865,0.069,13.27
CCDC106,0.0476,0.52
EDDM13,0.0638,-36.48
AC006116.8,0.0764,-24.24
ZFP28,0.0751,5.97
ZNF17,0.0673,2.52
ZNF419,0.0751,6.53
ZNF773,0.0749,-3.36
ZNF550,0.0611,-7.76
ZNF671,0.0661,-2.07
ZNF497,0.049,-2.79
ZNF584,0.0516,-16.04
ZNF446,0.0663,-9.8
CHMP2A,0.0707,-17.22
UBE2M,0.0677,-5.92
MZF1-AS1,0.064,-19.04
ZCCHC3,0.0698,-5.95
SDCBP2,0.0658,1.42
SNRPB,0.0581,-10.53
MRPS26,0.0763,-12.2
UBOX5-AS1,0.0757,-33.21
AL121757.2,0.0512,-12.2
MCM8,0.0674,8.25
JAG1,0.0758,27.37
AL050403.2,0.0477,-5.53
OVOL2,0.0631,-33.04
AL049646.1,0.0506,-40.68
SMIM26,0.0689,-20.14
CFAP61,0.0702,-14.54
KIZ-AS1,0.0715,-29.86
LINC01726,0.0541,-24.26
GZF1,0.051,-8.74
AL121894.3,0.0509,16.01
AL117381.1,0.0692,-27.46
DUSP15,0.058,-13.18
PDRG1,0.0461,-11.31
PLAGL2,0.0515,2.1
C20orf203,0.0759,-0.95
DNMT3B,0.0703,10.05
AL035071.1,0.0741,27.35
TP53INP2,0.0534,10.02
SCAND1,0.0524,-12.1
CNBD2,0.0633,-18.34
TGIF2,0.0626,4.99
RAB5IF,0.0486,-3.01
SNHG17,0.0479,-3.33
ACTR5,0.0525,-11.77
GDAP1L1,0.0536,-18.92
FITM2,0.0739,1.37
ADA,0.0608,23.36
KCNK15-AS1,0.0606,3.71
TOMM34,0.0563,-6.43
SYS1,0.0541,-2.28
WFDC3,0.0466,-4.57
ZSWIM3,0.0711,-0.89
PCIF1,0.0505,3.74
CDH22,0.0492,-16.69
TP53RK,0.0614,-11.96
RIPOR3,0.0477,10.78
PARD6B,0.0643,-0.61
LINC01524,0.0477,-12.16
FAM210B,0.0691,-9.03
CSTF1,0.0558,-2.09
CASS4,0.0534,10.08
TFAP2C,0.0697,7.14
PMEPA1,0.0648,-1.38
APCDD1L-DT,0.0528,-10.66
GNAS-AS1,0.0742,3.67
PRELID3B,0.0532,13.6
ADRM1,0.0505,4.22
MRGBP,0.0503,-0.59
EEF1A2,0.0598,-10.48
GATD3B,0.0611,0.51
FP671120.4,0.0461,37.79
AJ009632.2,0.0585,-4.15
AP000962.1,0.0574,-31.27
C21orf91,0.0533,-9.52
N6AMT1,0.0745,-8.9
MAP3K7CL,0.0526,30.13
GRIK1-AS1,0.0691,12.62
AP000253.1,0.0512,-2.27
TCP10L,0.0678,5.11
AP000688.1,0.0601,4.54
AP000688.2,0.0546,-4.07
PSMG1,0.0555,-11.19
LCA5L,0.0681,-19.73
B3GALT5-AS1,0.0557,-7.13
MX1,0.0652,-15.81
RSPH1,0.0703,-10.77
CBS,0.0582,12.74
HSF2BP,0.0485,4.36
RRP1,0.0731,2.23
CFAP410,0.0544,-0.09
SUMO3,0.0571,1.72
FAM207A,0.0577,-10.63
COL6A2,0.0622,39.97
AC007666.1,0.0579,-12.69
C22orf39,0.0678,-9.12
GNB1L,0.0657,-1.38
RTL10,0.0714,-0.1
RANBP1,0.0696,-8.46
RTN4R,0.0742,19.73
ZNF74,0.0515,8.45
HIC2,0.0741,-4.53
GNAZ,0.0635,11.21
RAB36,0.0652,-10.3
DRICH1,0.0461,-4.1
ZNF70,0.053,3.22
DDT,0.0468,-28.99
GUCD1,0.0722,-6.62
SNRPD3,0.0678,-0.81
LRRC75B,0.0737,5.2
CHEK2,0.0487,7.7
ZNRF3-IT1,0.0493,6.41
RASL10A,0.0669,-26.71
RFPL1S,0.0741,-1.83
HORMAD2-AS1,0.0545,0.65
HORMAD2,0.0528,-0.23
PES1,0.0761,-2.08
Z82217.1,0.0499,-42.23
CACNG2,0.076,2.62
KCTD17,0.0732,-2.94
H1F0,0.0468,0.57
MICALL1,0.0608,13.48
BAIAP2L2,0.0709,-4.21
AL021707.2,0.0718,-2.15
RPS19BP1,0.0655,-20.08
AL022238.2,0.051,-36.65
PHF5A,0.0518,-8.37
CCDC134,0.0612,-1.34
LINC00634,0.0518,7.14
NAGA,0.0461,1.9
A4GALT,0.0746,5.19
TSPO,0.0499,5.15
TTLL12,0.0579,1.88
PNPLA3,0.0621,15.51
WNT7B,0.0607,5.15
PRR34-AS1,0.0474,11.32
PANX2,0.0625,-16.44
NCAPH2,0.0764,13.61
PLCXD1,0.0564,10.12
ZBED1,0.0741,-2.65
ARSF,0.0566,4.85
PNPLA4,0.0555,7.09
MSL3,0.072,4.92
TCEANC,0.0572,10.09
RAI2,0.0554,-8.42
SCML2,0.0677,-8.45
ADGRG2,0.0551,-35.86
MAP7D2,0.0525,1
AC092832.2,0.0588,-29.51
PRDX4,0.0577,-0.21
AC131011.1,0.0548,30.28
DYNLT3,0.057,-5.26
FUNDC1,0.053,-2.13
NDUFB11,0.0472,-23.58
ARAF,0.073,11.92
UXT,0.0607,-13.56
UXT-AS1,0.0477,3.54
ZNF182,0.0583,7.56
PQBP1,0.0654,-12.89
GPKOW,0.0742,-17.85
AC233976.1,0.0628,5.44
PFKFB1,0.048,-4.37
FAM104B,0.0659,6.23
KLF8,0.0566,0.42
MTMR8,0.0584,6.78
SNX12,0.0567,-5.67
NHSL2,0.0579,10.25
ATP7A,0.0537,-0.39
POU3F4,0.0497,6.6
RPS6KA6,0.0677,-8.84
ZNF711,0.0751,-13.13
NAP1L3,0.0581,-1.72
CSTF2,0.049,-0.82
XKRX,0.0519,-4.27
HNRNPH2,0.0715,-3.11
ARMCX1,0.056,0.87
AL035427.1,0.0499,-39.06
BEX1,0.051,-26.79
TCEAL8,0.0547,-11.35
TCEAL9,0.0704,-12.63
AL021308.1,0.051,-3.22
PRPS1,0.0492,-9.56
COL4A6,0.0581,-22.13
RTL9,0.0532,25.2
LHFPL1,0.0656,-6.2
PLS3-AS1,0.0542,-5.56
PGRMC1,0.054,-2.48
CXorf56,0.0656,-3.37
NKRF,0.0674,2.68
TMEM255A,0.0474,-29.85
AC002377.1,0.047,-5.77
APLN,0.0536,8.39
AL034405.1,0.0581,-3.46
SLC25A14,0.0701,-8.26
RAP2C,0.074,3.84
CCDC160,0.0609,16.54
MOSPD1,0.0511,-2.23
RTL8A,0.0497,-13.52
MMGT1,0.0701,0.49
MAP7D3,0.0665,-1.54
FGF13,0.0679,-2.59
LDOC1,0.057,-9.13
AF274853.1,0.0578,-1.88
VMA21,0.0757,-2.81
NSDHL,0.0474,-5.98
PNMA3,0.0512,-6.65
DUSP9,0.0513,-5.47
IDH3G,0.07,-5.35
SSR4,0.0567,-14.93
TMEM187,0.0515,7.37
IRAK1,0.0624,3.88
G6PD,0.0522,12.47
DKC1,0.0704,-10.59
MPP1,0.0631,-1.67
CLIC2,0.0469,-7.13
SPRY3,0.0535,22.15
PCDH11Y,0.054,18.51
AC240274.1,0.0703,-0.89
