gene,detection,pct_change
AC107021.2,0.066,2.69
ZIC1,0.0459,-40.85
SIAH2-AS1,0.0645,4.53
RARRES1,0.074,-32.16
SMC4,0.0565,3.18
ZBBX,0.0555,-12.17
AC069243.1,0.0504,-14.18
SLC7A14,0.048,-15.11
EIF5A2,0.0586,5.31
ECT2,0.0683,14.11
ACTL6A,0.0683,-7.48
CCDC39,0.0544,-18.26
AC108734.4,0.0479,-13.74
LINC01994,0.0584,12.51
LINC01995,0.0544,-13.69
ABCF3,0.0547,2.06
EPHB3,0.0608,-8.31
MAGEF1,0.0624,-15.75
CRYGS,0.0655,6.65
AC007920.2,0.0469,-20.8
AC073365.1,0.0668,-6.22
LINC02028,0.0666,-5.84
WDR53,0.0752,-3.69
FBXO45,0.0543,2.86
AC016949.1,0.0504,-5.9
AC079140.6,0.0585,8.82
AC092574.2,0.0683,-27.93
AC116565.1,0.0495,-4.71
PDE6B,0.0697,-25.56
CPLX1,0.048,-8.49
IDUA,0.0694,-0.33
AC092535.4,0.064,23.57
C4orf48,0.0678,-27.41
TNIP2,0.0633,-6.47
NOP14-AS1,0.0651,-4.43
MSANTD1,0.0627,-3.76
LYAR,0.0576,-0.59
C4orf50,0.0581,-1.9
TADA2B,0.0691,6.1
GRPEL1,0.0507,-8.55
SH3TC1,0.0606,29.33
ZNF518B,0.0598,4.16
AC092546.1,0.052,23.85
LINC00504,0.0715,-9.44
AC006160.1,0.0715,-18.49
KCNIP4-IT1,0.0559,9.66
AC016687.2,0.0656,26.17
AC104078.1,0.0475,-14.75
NWD2,0.0583,-0.34
PGM2,0.0754,3.83
CORIN,0.0467,-2.94
AC107068.2,0.0733,-35.31
LRRC66,0.0501,11.36
LNX1,0.0711,-1.12
NOA1,0.0495,-8.66
TMPRSS11D,0.0479,-29.74
AC110795.1,0.0613,-6.86
AC034139.1,0.0531,-34.14
FRAS1,0.0707,-1.99
AC124016.1,0.0671,-6.34
COQ2,0.0465,4.58
C4orf36,0.0543,-8.34
SPP1,0.0606,-4.24
PYURF,0.0678,-11.37
MTTP,0.0762,18.22
H2AFZ,0.0648,-22.26
BANK1,0.0668,10.61
AC018797.3,0.0499,-30.63
CXXC4,0.0514,-4.63
CXXC4-AS1,0.0566,-10.38
AC092445.1,0.0716,59.04
MCUB,0.066,-22.62
CFI,0.0687,-22.63
GAR1,0.0605,-9.55
RRH,0.0571,-0.71
SNHG8,0.0757,-13.17
METTL14-DT,0.0524,17.26
EXOSC9,0.0717,10.66
AC021205.3,0.048,-28.32
SLC7A11-AS1,0.0582,-34.16
SCOC-AS1,0.063,-16.56
AC097658.2,0.0759,-30.67
HHIP,0.0629,-25.68
TTC29,0.0547,-6.28
AC069272.1,0.0461,-36.05
IQCM,0.0531,11.07
TMEM131L,0.0596,4.83
RNF175,0.0748,-7.92
LRAT,0.0643,-19.74
TMA16,0.0688,-0.58
AGA,0.0633,-7.78
ING2,0.0487,-10.89
ANKRD37,0.0726,-25.38
CCDC127,0.063,-2.21
EXOC3-AS1,0.0465,-10.08
MRPL36,0.0472,-25.51
ADAMTS16,0.0466,-23.76
LINC02145,0.0506,-19.7
LINC02196,0.0654,-5.1
C5orf49,0.0652,-6.39
AC091912.3,0.0729,-21.06
MIR4458HG,0.0642,-10.53
LINC02112,0.0643,12.1
DNAH5,0.07,-2.29
AC114964.2,0.0534,-26.52
LINC02241,0.0511,4.76
AC091946.1,0.0696,-0.69
AC025178.1,0.0616,38.46
AMACR,0.0558,1.21
RAD1,0.0727,-0.45
BRIX1,0.0499,-10
PLCXD3,0.0679,-15.01
CCDC152,0.0652,-2.15
AC025171.2,0.0462,-18.35
LINC02224,0.0509,-0.66
AC093297.2,0.0637,8.98
AC008966.1,0.0646,-10.39
AC026704.1,0.0517,-38.54
RGS7BP,0.0572,2.35
ADAMTS6,0.0475,-22.23
AC112206.2,0.0727,1.1
LINC02198,0.0739,3.41
TAF9,0.0559,-4.17
ARHGEF28,0.0691,2.8
GCNT4,0.0763,4.6
ANKRD31,0.0755,-2.25
ANKDD1B,0.0594,-8.1
VCAN-AS1,0.0471,-41.95
LINC02144,0.0654,-4.72
MBLAC2,0.0581,-0.97
SPATA9,0.0564,8.8
LINC01554,0.0546,-2.07
RIOK2,0.0761,-4.96
AC113385.1,0.0507,-29.16
LINC01950,0.0744,10.83
STARD4,0.0684,2.86
STARD4-AS1,0.0654,-35.56
EPB41L4A-AS1,0.0553,-9.66
AC079465.1,0.0659,5.2
CDO1,0.0567,5.6
LINC02208,0.0562,6.18
PPIC,0.0729,7.87
PRDM6,0.0605,6.18
AC116362.1,0.0559,-9.89
AC011416.3,0.074,28.15
ADAMTS19,0.0517,-3.55
IRF1,0.0578,-22.46
C5orf66,0.0462,-9.45
PKD2L2,0.048,-6.93
SPATA24,0.0469,-3.35
WDR55,0.0751,-2.78
ZMAT2,0.071,-6.4
PCDHB4,0.0727,12.51
PCDHB5,0.0577,19.3
PCDHB9,0.0606,-6.13
PCDHB13,0.0675,19.52
PCDHGA3,0.0617,6.65
PCDHGA7,0.0548,17.06
PCDHGA12,0.047,6.61
FCHSD1,0.0749,-1.96
AC005753.2,0.0479,-35.73
ARHGAP26-AS1,0.0536,-26.8
AC132803.1,0.0635,-8.84
ADRB2,0.0589,-21.25
SLC26A2,0.0639,-5.09
SLC6A7,0.0524,10.9
NDST1-AS1,0.0534,9.67
GM2A,0.0571,4.85
SPARC,0.0653,-32.89
LINC01933,0.0476,1.25
MED7,0.0688,-12.05
DUSP1,0.0508,-23.7
BNIP1,0.0489,-11.7
NSG2,0.0614,-3.55
FAM153B,0.0692,-7.75
HIGD2A,0.0578,-20.54
CDHR2,0.0512,1.1
SNCB,0.0692,2.93
UNC5A,0.0478,-10.69
MXD3,0.0472,-7.26
DDX41,0.0473,-18.83
AC106795.3,0.052,-11.47
HNRNPAB,0.0561,-10.66
ZNF454,0.0568,-6.19
MGAT4B,0.062,-2.98
AC008610.1,0.0546,14.94
TRIM52-AS1,0.0561,-1.47
AC008443.8,0.0469,2.25
AL031768.2,0.0619,-41.94
SERPINB1,0.0495,-3.73
AL033523.1,0.073,33.56
RIOK1,0.0736,-10.28
TXNDC5,0.0765,2.53
AL138720.1,0.0539,-8.05
DCDC2,0.0646,-2.22
HFE,0.0503,-5.22
HMGN4,0.075,-8.33
ZSCAN9,0.0592,-6.46
ZKSCAN3,0.0593,-10.59
PPP1R11,0.0484,-13.11
TRIM39,0.066,-5.68
RPP21,0.0536,-16.55
DHX16,0.0696,-5.8
GTF2H4,0.0472,-20.11
PSORS1C1,0.0497,11.34
