donor,cps,MCT4,PTGDS_a,MCT4_m,ANLS,VATP_a10,VATP_n6,VATP_n10,LAMP1_n,LDHB_n,gm_a,gm_n,ncell_a,ncell_n,ACTB_a,ACTB_n,B2M_a,B2M_n,GAPDH_a,GAPDH_n,GUSB_a,GUSB_n,HPRT1_a,HPRT1_n,PGK1_a,PGK1_n,POLR2A_a,POLR2A_n,PPIA_a,PPIA_n,RPL13A_a,RPL13A_n,RPLP0_a,RPLP0_n,SDHA_a,SDHA_n,TBP_a,TBP_n,UBC_a,UBC_n,YWHAZ_a,YWHAZ_n
H20.33.015,0.878967566,0.0364781061177096,1.49022807641912,0.443569965543547,0.118935173044657,0.332402309581884,0.402348423312657,0.446673020005085,0.159176681041938,0.210536094724722,0.103755881964653,0.118863378669496,724,11492,0.471356437639308,0.578118887755552,0.189553179505451,0.0357841113779993,0.700790116306168,0.33492871094722,0.106721354782252,0.105209052749756,0.196910209830295,0.932063242940513,0.342522040791604,0.24485072572714,0.12062452881705,0.156642571371729,0.125750209889195,0.301994870017774,0.199004805651982,0.139355953313732,0.110457920031982,0.0586560389070437,0.233917538550019,0.272726951013658,0.0461092685138323,0.0772601038507995,0.872678902308915,0.200173985912587,0.413914171742142,0.883617967377546
H20.33.016,0.616531087,0.0258761966260317,1.96905212715089,0.132328760433704,0.075526711672319,0.290984728976149,0.426726419668749,0.440112625621587,0.189993522315561,0.180851387767211,0.105432049694865,0.115482978586708,749,11350,0.442050571276126,0.555768812533123,0.159186517484038,0.0305472501931868,0.614469239386284,0.31857815648064,0.10462967554065,0.133207473536617,0.0953982329973391,0.630897833265134,0.157938562502689,0.198216188350438,0.230156717356916,0.185155399002233,0.172052783028624,0.288347059374733,0.23708033949654,0.156296162619727,0.110818354246295,0.0634356678228021,0.251209120744857,0.26781050850346,0.102080750290319,0.0874690271723638,0.373692612662334,0.187446805749433,0.308114855745447,0.962542595401209
H20.33.017,0.790026228,0.019162857401296,1.45691488089676,0.215071401371878,0.0903250645041716,0.278260110201513,0.41057300306458,0.417942410756296,0.184330556758143,0.181360490676288,0.107331010416118,0.11380005801587,954,8691,0.356413929467431,0.544416723927836,0.138880724708239,0.0385516661935874,0.378887659583077,0.362388162630541,0.0814075688489828,0.115589509306521,0.109561689088679,0.765221727133044,0.237923759537548,0.225190269336758,0.190473632383272,0.207195168884649,0.128479863425221,0.296599666109113,0.115783006483904,0.110956289903737,0.0444772572449918,0.0586236753174055,0.276201090222885,0.240689764964133,0.0844564344616806,0.0735565475967781,0.221690072359779,0.222379295257636,0.419213806120855,0.946834086524838
H20.33.018,0.89607397,0.0105101212708637,1.51399927831659,0.192744655641241,0.0736285277739519,0.260404437786401,0.417338289855483,0.440506952505982,0.201244220287763,0.188808352941132,0.0998744475266499,0.114577474194232,1980,12379,0.362216754122214,0.584763850386298,0.0993261304016065,0.0581514882123165,0.339424397427626,0.374725171022755,0.084784242119452,0.125436825633665,0.112825843285431,0.818738208662516,0.177436723371949,0.203229524973716,0.141019376480218,0.217148983640871,0.106552466720042,0.307883114585662,0.105210067452204,0.120926313668306,0.0459334230934731,0.0751299947302815,0.241884300383655,0.26352566317168,0.0407299324268042,0.0657059312247746,0.312812060072567,0.304945537255751,0.370923017627663,0.91985736333748
H20.33.019,0.728160721,0.0334751728889672,1.82083417900765,0.404523014564953,0.0882334769656867,0.294400500922328,0.460292277651223,0.48046956881909,0.18339666731189,0.210801701812358,0.105363008419308,0.123500120790328,1033,11895,0.647265899244837,0.638627394934245,0.231386687451503,0.0394750681994291,0.521472396168566,0.295557900284859,0.112333998300445,0.129975368721413,0.213259852679747,0.985366066978378,0.204227628343218,0.264463706447353,0.1950252348375,0.197274268329607,0.153462481868002,0.329650717283771,0.218509100673275,0.163263918386444,0.142618157467214,0.0753974374159763,0.259872299426984,0.307678304080855,0.0809589197709507,0.109133650802511,0.60824464548592,0.197377768828181,0.433062865738716,0.916207505868432
H20.33.020,0.928512537,0.0153881823714775,1.68261565603787,0.377567753430932,0.0946177405081218,0.285816400212389,0.392692241912286,0.412924667174195,0.166605862180638,0.17558361306399,0.101307406573808,0.11288079519911,1580,10688,0.550771873170817,0.528135908145073,0.12590092674275,0.0390084750454003,0.556660253233925,0.387522052427681,0.0724158311003371,0.113653372962399,0.145183207594518,0.804989633214532,0.310370954758004,0.210180422044387,0.107634637966941,0.201368162216421,0.0982317178404029,0.237632537941019,0.109321881481741,0.126663399655665,0.0542191862588442,0.0606225627076444,0.226101172611683,0.232259579623274,0.0433529062738901,0.0658798159042953,0.559464532146348,0.259685249030897,0.442588008864771,0.94258152446598
H20.33.024,0.323638945,0.0949587584978127,1.88514434429536,0.487087928873348,0.158208554288948,0.347492742969329,0.573044735151185,0.562915865530175,0.223665787207379,0.223806953879374,0.106863337335426,0.131204231848783,83,7716,0.984444003507315,0.495109572912001,0.218082168734217,0.0516264853837763,0.850754373044853,0.343712214560105,0.109473207628871,0.183537373887042,0.337230802659529,0.828265108118879,0.343961813363684,0.373375609676422,0.196058653923402,0.226327604206232,0.134081624717598,0.306865802512226,0.211109302489154,0.240737963365965,0.268337532339326,0.127905040002197,0.396260098520532,0.380707605968352,0.136043786284435,0.22309045290923,0.82770818076938,0.341677475411652,0.515531147459903,0.812128366843569
H20.33.025,0.588881872,0.0282058632357524,1.76311662605877,0.188883766512363,0.0577977456573146,0.264262005185983,0.431029926817161,0.452188048087999,0.200354984257823,0.226896442437945,0.10030967460967,0.120252234612773,732,14373,0.335503930928277,0.486180579124303,0.0944003359379013,0.0259328547092517,0.522741157011908,0.248472800783272,0.0953607320215533,0.134780489264154,0.123805857665552,0.632074548426728,0.144515090423529,0.229021086953987,0.199224535314763,0.190164736245087,0.12416666168007,0.310225092408265,0.169634619167919,0.214668605580552,0.0562832787877224,0.0746193912490899,0.205477131744389,0.296978498693766,0.0731194773739804,0.10491206158819,0.337558062492661,0.138950558318513,0.36645574250915,0.87639492627106
H20.33.026,0.906842533,0.0303415355957904,1.91178976969337,0.347564164426301,0.107033255480745,0.312330104284129,0.498300618522031,0.510182309894289,0.205702207492222,0.301512114798337,0.107857620157294,0.123647168568259,424,3305,0.64706938573212,0.838446229894655,0.141422767473279,0.0865437654679734,0.534335406743131,0.425442772703569,0.0914875484018956,0.130313268348958,0.17319444805946,0.729466548228408,0.205257266549007,0.319375469340589,0.143559408918867,0.214069187922936,0.160189104600335,0.45332860260999,0.11895934239311,0.19033726648443,0.074536911510634,0.112582217854604,0.232809850840636,0.272061666814715,0.072224192532166,0.0997107206625405,0.481146542531139,0.367043360373436,0.402277457193946,1.21779554996656
H20.33.027,0.625950796,0.0335660010776264,1.57914104060139,0.258951255642032,0.0644714387771267,0.290460197797558,0.578541452281256,0.573506461957774,0.219492530222023,0.335667695093709,0.103312117838279,0.121560050256906,1192,10815,0.578927070177442,0.902681734684684,0.187901845914405,0.0659098628014533,0.620321588903266,0.701023054666132,0.0897965790491376,0.132199404974241,0.0871965629642442,0.653813396418365,0.185166262690253,0.347819894984867,0.190683205280728,0.189736700432407,0.150991085516726,0.538612476964337,0.167340405735394,0.408208951008193,0.0952040158312193,0.16234855059288,0.211932125282568,0.329232531094298,0.113042225973718,0.12875900441506,0.42307717513118,0.373838192882413,0.306200271909869,0.911002885175148
