block,gene,celltype,det_bin,pct_change,n_null,pctl,band_median,reportable,in_null_tail,prereg,verdict
S12-C astrocyte internal,PKM,exc,0.817359838975959,-7.48810200528426,4205,0.04470868014268728,-1.38951547730199,True,True,,measurable
S12-C astrocyte internal,LDHA,astro,0.123001597229479,-20.8341985911208,2342,0.0892399658411614,-2.25571629650352,True,False,,measurable
S12-C astrocyte internal,LDHA,exc,0.344053192211141,-15.3603270020732,2847,0.09237794169301018,-4.97632937642275,True,False,,measurable
S12-C astrocyte internal,PFKFB3,astro,0.779179292740816,-5.19582061587613,1517,0.05273566249176005,2.14760663564886,True,False,,measurable
S12-C astrocyte internal,PFKFB3,exc,0.748932160330491,-7.14018165490287,4008,0.0815868263473054,-1.9423533285740748,True,False,,measurable
S12-C astrocyte internal,AQP4,astro,0.914928871042379,-5.25548306336306,1026,0.037037037037037035,2.178854572090925,True,True,,measurable
S12-C astrocyte internal,AQP4,exc,0.151495277080459,-1.99494514392349,2203,0.7013163867453472,-6.58308608561498,True,False,,measurable
S12-C astrocyte internal,SLC1A3,astro,0.991461539609798,-0.037546770891872,763,0.2490170380078637,2.05036254986806,True,False,,measurable
S12-C astrocyte internal,SLC1A3,exc,0.121043942375105,10.7557397957253,2169,0.9575841401567543,-7.35722793383846,True,False,,measurable
S12-C astrocyte internal,GJA1,astro,0.842411667238883,7.59347906658103,1311,0.9023646071700991,2.05623025457424,True,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,measurable
S12-C astrocyte internal,GJA1,exc,0.0323314562272429,31.7523598631416,2108,0.9909867172675522,-8.388807576232729,False,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,below the house reporting floor - null only
S12-C astrocyte internal,SLC1A2,astro,0.990356913615262,5.0869586067932,768,0.8111979166666666,2.052573313330255,True,False,,measurable
S12-C astrocyte internal,SLC1A2,exc,0.65657854068194,-8.11024113731624,3754,0.10229088971763452,-2.723809640684005,True,False,,measurable
S12-E control transporters,SLC16A1,astro,0.0812347927333522,-11.125574633915,2167,0.24319335486848176,-3.17833829227358,False,False,,below the house reporting floor - null only
S12-E control transporters,SLC16A1,exc,0.240096192263911,-16.4592983947603,2441,0.12003277345350266,-5.6714370188953,True,False,,measurable
S12-E control transporters,SLC16A3,astro,0.0602170440805481,-43.1952363233837,2027,0.004440059200789344,-4.10755565360631,False,True,,below the house reporting floor - null only
S12-E control transporters,SLC16A3,exc,0.0907871029996005,-36.379954742669,2066,0.05759922555663117,-7.80208978657021,False,False,,below the house reporting floor - null only
S12-E control transporters,SLC16A7,astro,0.0928930751892045,-12.1337793610807,2242,0.2096342551293488,-2.914716039327865,False,False,,below the house reporting floor - null only
S12-E control transporters,SLC16A7,exc,0.900471161167274,2.267816798656,3490,0.8719197707736389,-1.21053920910085,True,False,,measurable
S12-E control transporters,SLC16A8,astro,0.0019853413145049,-21.8302065567493,1779,0.3041034288926363,-7.60542136047916,False,False,,NOT MEASURABLE (below the null floor)
S12-E control transporters,SLC16A8,exc,0.0152535600937799,-30.0890622564439,2002,0.13286713286713286,-8.904696909559105,False,False,,NOT MEASURABLE (below the null floor)
S12-F channel route,PANX1,astro,0.0298099744741831,0.0302218437109536,1900,0.6752631578947368,-6.72848276815898,False,False,,below the house reporting floor - null only
S12-F channel route,PANX1,exc,0.118592396589547,-14.9807317790748,2151,0.24639702463970248,-7.43734274645249,True,False,,measurable
S12-F channel route,PANX2,astro,0.0626651341224941,-16.4428712209457,2029,0.17545588960078856,-3.88563745502397,False,False,,below the house reporting floor - null only
S12-F channel route,PANX2,exc,0.19126278731408,-16.8456390203439,2306,0.13876843018213356,-6.02913999862274,True,False,,measurable
S12-F channel route,GJA1,astro,0.842411667238883,7.59347906658103,1311,0.9023646071700991,2.05623025457424,True,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,measurable
S12-F channel route,GJA1,exc,0.0323314562272429,31.7523598631416,2108,0.9909867172675522,-8.388807576232729,False,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,below the house reporting floor - null only
S12-F channel route,GJB6,astro,0.317311280619785,11.6776434213081,2501,0.9460215913634547,0.0977536961752623,True,False,,measurable
S12-F channel route,GJB6,exc,0.0055875945149301,21.6490300390446,1914,0.9498432601880877,-8.316444298849738,False,False,,NOT MEASURABLE (below the null floor)
S12-F channel route,CALHM1,astro,0.00049260348405,13.5888501655673,1300,0.6330769230769231,-5.674236476546925,False,False,,NOT MEASURABLE (below the null floor)
S12-F channel route,CALHM1,exc,0.0305553670910886,-15.7381120965228,2117,0.3264052905054322,-8.30744389677808,False,False,,below the house reporting floor - null only
S12-F channel route,BEST1,astro,0.122165664044424,6.10833713432968,2344,0.8348976109215017,-2.298349495023455,True,False,,measurable
S12-F channel route,BEST1,exc,0.0270393739964267,-3.12167136966517,2066,0.6534365924491772,-8.335485772885121,False,False,,below the house reporting floor - null only
S12-F channel route,LRRC8A,astro,0.523950978489648,7.37808024590316,2003,0.8602096854717923,1.61977101592525,True,False,,measurable
S12-F channel route,LRRC8A,exc,0.362791083369142,-0.503785211587882,2905,0.7559380378657488,-4.81507378329815,True,False,,measurable
S12-G specificity contrast,CP,astro,0.132614828857608,-44.6845507839688,2378,0.0021026072329688814,-2.064513766378305,True,True,,measurable
S12-G specificity contrast,CP,exc,0.0420019449532985,-38.0743855012216,1982,0.05196770938446014,-8.004278481047049,False,False,,below the house reporting floor - null only
S12-G specificity contrast,FTH1,astro,0.735964532549148,-19.2095981844449,1598,0.0012515644555694619,2.138768567349535,True,True,,measurable
S12-G specificity contrast,FTH1,exc,0.770165321030373,-14.6290458256626,4072,0.005893909626719057,-1.774738964461445,True,True,,measurable
S12-G specificity contrast,FTL,astro,0.605976922273141,-15.7832921531029,1877,0.012786361214704315,1.80401297687132,True,True,,measurable
S12-G specificity contrast,FTL,exc,0.536867419016819,-11.9806490503724,3442,0.06624055781522371,-3.4411671455784303,True,False,,measurable
S12-G specificity contrast,TFRC,astro,0.302831723664373,-11.4782274231058,2555,0.09354207436399217,-0.0073662576940081,True,False,,measurable
S12-G specificity contrast,TFRC,exc,0.464608634688016,-7.8072505408864,3292,0.22934386391251518,-3.99580017308018,True,False,,measurable
S12-G specificity contrast,SLC40A1,astro,0.0382887253511666,-2.99561798899096,1951,0.5873910814966684,-5.90303160512294,False,False,,below the house reporting floor - null only
S12-G specificity contrast,SLC40A1,exc,0.0050387859872899,3.01994930011447,1850,0.7502702702702703,-8.0421765538029,False,False,,NOT MEASURABLE (below the null floor)
