celltype,bin,gene,mean,det,n_cells
astro,0.2,ATP1B1,0.154884211154056,0.196782953833299,4787
astro,0.2,ATP1B2,1.03483811792835,0.787131815333194,4787
astro,0.2,AQP4,1.85725522919764,0.943388343430123,4787
astro,0.2,KCNJ10,0.387661681089691,0.457489032797159,4787
astro,0.2,GJA1,1.20246518764225,0.813244203049927,4787
astro,0.2,GJB6,0.223474533442841,0.29747232086902,4787
astro,0.2,SLC2A1,0.114833755382472,0.162523501148945,4787
astro,0.2,SLC2A3,0.125302197161462,0.116774597869229,4787
astro,0.2,GYS1,0.310736659015423,0.368915813662001,4787
astro,0.2,PYGB,0.500236033518603,0.559849592646752,4787
astro,0.2,PYGM,0.0844206005608784,0.126801754752455,4787
astro,0.2,CPT1A,0.55748301087652,0.592646751618968,4787
astro,0.2,ACADVL,0.476594754517489,0.538750783371632,4787
astro,0.2,HADHA,0.412036507568455,0.499268853143932,4787
astro,0.2,ACSL3,0.879235575421135,0.731982452475454,4787
astro,0.2,BDH1,0.261369297016705,0.34071443492793,4787
astro,0.2,OXCT1,0.233547476006869,0.282222686442448,4787
astro,0.2,SLC16A6,0.0483415742675771,0.0720701900981826,4787
astro,0.2,RPL13A,0.181017868016915,0.242322958011281,4787
astro,0.2,RPS6,0.155187533700269,0.211614790056403,4787
astro,0.2,EIF4E,0.242176806183381,0.332985168163777,4787
astro,0.2,EEF2,0.105739465449881,0.158972216419469,4787
astro,0.2,HSPA5,0.159687248368539,0.226446626279507,4787
astro,0.2,DDIT3,0.0499966229760176,0.0747858784207228,4787
astro,0.2,ATF4,0.0839871967544829,0.124503864633382,4787
astro,0.2,EIF2AK3,0.151984577886068,0.204094422393984,4787
astro,0.2,GFAP,1.88785823735136,0.899519532066012,4787
astro,0.2,VIM,0.385495647370927,0.429496553164821,4787
astro,0.2,SERPINA3,0.372265628805757,0.326091497806559,4787
astro,0.2,CLU,2.22523688417102,0.968247336536453,4787
astro,0.2,C3,0.166543256138894,0.159807812826405,4787
astro,0.2,CD44,0.777977071296255,0.439523710048047,4787
astro,0.2,LAMP1,0.222460967714462,0.312721955295592,4787
astro,0.2,LAMP2,0.440558512262644,0.519323166910382,4787
astro,0.2,CTSB,0.159643088691738,0.226864424482975,4787
astro,0.2,CTSD,0.331197529691905,0.407979945686234,4787
astro,0.2,SLC40A1,0.0258458383600822,0.0409442239398371,4787
astro,0.2,TFRC,0.298514612114004,0.361395445999582,4787
astro,0.2,FTH1,1.44830318362125,0.838729893461458,4787
astro,0.2,FTL,0.8336097966387,0.655525381240861,4787
astro,0.2,CP,0.197019333891837,0.186337998746605,4787
astro,0.2,LDHA,0.100855893591438,0.13954459995822,4787
astro,0.2,HK2,0.0636961736191233,0.0683100062669731,4787
astro,0.2,PFKFB3,1.151782847681,0.824733653645289,4787
astro,0.2,NEFL,0.0659882163693916,0.0877376227282223,4787
astro,0.2,PTGDS,1.87815140044861,0.965113850010445,4787
astro,0.2,MOG,0.0185749259228146,0.025903488614999,4787
astro,0.2,MAG,0.0126733948374083,0.0173386254439106,4787
astro,0.2,SNAP25,0.360147931716725,0.42239398370587,4787
astro,0.2,SYT1,0.785917157469524,0.721955295592229,4787
astro,0.2,SLC17A7,0.0811374923531437,0.11573010236056,4787
astro,0.2,RBFOX3,0.112899950075702,0.154585335283058,4787
astro,0.2,ATP6V1A,0.369039952982212,0.439105911844579,4787
astro,0.2,ATP6V1B2,0.123861600934575,0.182577814915396,4787
