gene,det_all,det_bin,pct_change,compartment
PDK1,0.273126847448914,0.267777369001945,5.93723985744881,micro
SLC40A1,0.136306387353811,0.138881589320439,19.6195214865874,micro
CX3CR1,0.496517157177741,0.504782677248121,-8.14070125675922,micro
ATP6V1A,0.319187765068757,0.320202869606349,-3.05204990998477,micro
CP,0.0564965942680889,0.0560256477637042,-28.946516427557,micro
P2RY12,0.677650687572292,0.688442739265255,3.42616097146939,micro
TFRC,0.204421025575119,0.197429967940295,-7.25270749361084,micro
SLC1A3,0.963603649916463,0.963840857728491,4.75509547942796,micro
EGR1,0.013237373088292,0.0117464655489567,-33.4064594474773,micro
CSF1R,0.859555327078782,0.866242707731119,4.52044301284618,micro
MOG,0.0213340187636551,0.0212329847059442,-0.160278313713713,micro
GJA1,0.0268088934584244,0.0272770273821412,22.0360648090646,micro
CTSB,0.842231075697211,0.840989120723183,-4.2787621211131,micro
ATP6V1B2,0.48207171314741,0.479923266936459,11.2444913963252,micro
ARC,0.00293021462536949,0.00249645240973354,-7.35857564209078,micro
LRRC8A,0.0498907595424753,0.0501129973195985,3.59039651500324,micro
PTGDS,0.124122863385169,0.124507279129658,-2.30883436375881,micro
PFKFB3,0.639969155635523,0.636148630892942,-12.0296139986262,micro
CALHM1,0.000642590926616116,0.000656961160456194,-15.175421516668,micro
CTSD,0.366225420897057,0.366636884427393,31.6898729240082,micro
LDHA,0.192648759799512,0.188311347033163,-8.73645290464236,micro
SLC1A2,0.144145996658527,0.14592421296053,7.31466883284107,micro
BEST1,0.0812749003984064,0.0808325011825301,-13.4000026818697,micro
FTH1,0.602030587328107,0.594970305355547,-22.1410715487728,micro
NPAS4,0.00262177098059375,0.00105113785672991,-85.04446765133,micro
PANX1,0.104510988304845,0.100436222210543,-5.45386694365683,micro
SLC2A3,0.281429122220794,0.270326378304515,-35.3378632580528,micro
LDHB,0.137308829199332,0.138356020392074,-2.58518491712104,micro
SLC16A7,0.0880863642205372,0.0883744153045672,1.30128862805301,micro
TMEM119,0.199948592725871,0.202869606348873,10.2525954516209,micro
GJB6,0.00349569464079167,0.00357386871288169,20.0255029103344,micro
LAMP1,0.305384911965043,0.305697167183476,0.416878561898248,micro
FOS,0.157203444287367,0.153702633100331,-45.3892551135741,micro
PKM,0.37720087392366,0.372313028853734,-5.24934282383436,micro
ATP6V0C,0.291890502506105,0.292636779313607,-6.26529404835315,micro
ALDOA,0.0199717259992289,0.0188679245283019,-20.355416474973,micro
ATP6V0D1,0.232720729983293,0.233010984390603,0.586642603651177,micro
ATP6V0A1,0.518699395964529,0.514190361065854,-2.52406430816999,micro
SLC16A3,0.263436576275543,0.258685026541231,-14.4460282998983,micro
AQP4,0.0321809536049351,0.0326903873443002,-5.75785880084522,micro
MBP,0.743811849376687,0.743653755189993,10.4458425735002,micro
JUNB,0.1728826628968,0.168628790665896,-25.5220541293759,micro
FTL,0.729160776249839,0.72659904346455,-8.86776473289006,micro
SNAP25,0.315537848605578,0.313817207126715,-4.75016824077934,micro
ATP6V1E1,0.202210512787559,0.203184947705892,-4.03538566910293,micro
SLC16A8,0.00146510731268475,0.00149787144584012,39.3119456828522,micro
PANX2,0.0122863385169001,0.0121406422452305,-6.98991699684454,micro
PLP1,0.138465492867241,0.140326903873443,-17.3859074078946,micro
LAMP2,0.331294178126205,0.331450044673359,6.81848125826208,micro
C1QA,0.00365250139570973,0.00366740014669601,29.4966107114282,oligo
SLC2A1,0.0942458909359298,0.0945331923527563,11.4842738959966,oligo
SLC16A1,0.148721151389559,0.148905971670525,-9.82597854472453,oligo
HK2,0.0216973722807316,0.0216805265815068,-4.71358004689821,oligo
PDK1,0.0839318325905319,0.0833023747606664,7.02377629825635,oligo
SLC40A1,0.0021385111798715,0.00215281151468389,-1.24453579126549,oligo
CX3CR1,0.00322669164750523,0.00322921727202583,57.1305889490205,oligo
ATP6V1A,0.279492056282586,0.279541622610236,-6.90577237554071,oligo
CP,0.0180637957627199,0.0179654978614771,-15.6660485456101,oligo
P2RY12,0.0138340855972218,0.0137741834081102,11.49468917384,oligo
TFRC,0.0697097870005015,0.0695948713552234,-10.7493452076299,oligo
SLC1A3,0.616175092968462,0.616932910391602,0.0316784524555747,oligo
EGR1,0.00733339010796643,0.0070871317120567,-24.300095691489,oligo
CSF1R,0.00708736669789272,0.0070871317120567,35.9805067586943,oligo
MOG,0.904561841769098,0.904314196172568,-9.22575415760973,oligo
GJA1,0.0172311011440089,0.0172796464054716,34.8813622843184,oligo
CTSB,0.107512230202212,0.107526267158194,-6.58124156668317,oligo
ATP6V1B2,0.14702737483559,0.146857943017175,-0.825234887032977,oligo
ARC,0.0033402409136931,0.00322921727202583,-5.31794127511904,oligo
LRRC8A,0.120229748015253,0.120128787662294,21.2714417063963,oligo
PTGDS,0.939184905517548,0.938892540412844,-8.23386419529775,oligo
PFKFB3,0.388054617197036,0.387582278360434,3.19041077695206,oligo
CALHM1,0.000567746330939336,0.000571542880004572,1.88847277744926,oligo
CTSD,0.272726412505559,0.27207346231151,6.70476837670366,oligo
LDHA,0.0460631523168782,0.0458377389763667,-18.5463649543319,oligo
SLC1A2,0.105430493655435,0.105849741376847,20.4850051667847,oligo
BEST1,0.337307557649909,0.336686384896027,-8.65474083008244,oligo
FTH1,0.832741930905272,0.832375999009326,-9.70328389842878,oligo
NPAS4,0.0012017297338216,0.000723954314672458,-58.6240232238202,oligo
PANX1,0.0260879439066625,0.0261861896188762,-7.42006582809196,oligo
SLC2A3,0.04024375242475,0.0395698187256499,-11.9589801892387,oligo
LDHB,0.179985049346619,0.180188418636108,-1.25295456560725,oligo
SLC16A7,0.288897720498481,0.28915306870898,1.28183052126349,oligo
TMEM119,0.000785382424466082,0.000781108602672916,70.2559910361673,oligo
GJB6,0.0023088350791533,0.00232427437868526,48.1942351678822,oligo
LAMP1,0.431780547118214,0.431819697272788,-3.39919200961157,oligo
FOS,0.0322385291585053,0.0313014983949171,32.1914768438459,oligo
PKM,0.183022492217144,0.183027081606798,-2.41308843610595,oligo
ATP6V0C,0.300810931009358,0.300669657741072,-7.46683909461616,oligo
ALDOA,0.0131433275612456,0.013002600520104,-4.90606522935365,oligo
ATP6V0D1,0.17454414700845,0.174444412692062,0.558939760820687,oligo
ATP6V0A1,0.490589604564681,0.489840825307919,-2.01087365846788,oligo
SLC16A3,0.0283873165469668,0.0282342182722259,-20.0601121579481,oligo
AQP4,0.0245266414965793,0.0246144466988636,1.4791700445697,oligo
MBP,0.998675258561142,0.99874260566399,-1.43786480802538,oligo
JUNB,0.0248956766116899,0.0242143666828604,28.7339575900548,oligo
FTL,0.606958677529546,0.605368692786176,-7.756732146972,oligo
SNAP25,0.365155515182483,0.364777717448252,-12.2717841672671,oligo
ATP6V1E1,0.210397327807269,0.210499242705684,-2.78670386361269,oligo
SLC16A8,0.0311408862520226,0.0312538698215834,-25.7766081442315,oligo
PANX2,0.0134555880432623,0.0135074633974414,4.06080135785722,oligo
PLP1,0.982163302769656,0.982234542146525,-4.73089988036131,oligo
LAMP2,0.905498623215147,0.905400127644577,3.69648131709395,oligo
C1QA,0.00592685007496029,0.00596150801727842,2.54630784715173,exc
SLC2A1,0.11530782847419,0.114610519332685,-9.97454089380287,exc
SLC16A1,0.241157738179425,0.240096192263911,-16.4592983947603,exc
HK2,0.0101014010948519,0.00997353958884592,-32.5577245685076,exc
PDK1,0.488936099891468,0.487492744118024,-2.09835972425547,exc
SLC40A1,0.00501571411769435,0.00503878598728996,3.01994930011447,exc
CX3CR1,0.00658489271076346,0.00662641065653482,7.56078266903479,exc
ATP6V1A,0.865095304523373,0.864772975703161,-6.13629717717999,exc
CP,0.0421221726126228,0.0420019449532985,-38.0743855012216,exc
P2RY12,0.136314574155599,0.135144099931399,-33.3179771267689,exc
TFRC,0.4659060964226,0.464608634688016,-7.8072505408864,exc
SLC1A3,0.120774644217785,0.121043942375105,10.7557397957253,exc
EGR1,0.156831509820765,0.152062178196923,-16.575113063273,exc
CSF1R,0.0195536922593641,0.019154020700937,4.83245634986802,exc
MOG,0.0376468871754636,0.0376431387626177,-6.80576238094192,exc
GJA1,0.0320431032814294,0.0323314562272429,31.7523598631416,exc
CTSB,0.628140404264474,0.627527873894656,-2.3012919588685,exc
ATP6V1B2,0.745032299174171,0.743174193937475,-4.15758502351584,exc
ARC,0.07443176827371,0.0718652705218958,-12.6575650633017,exc
LRRC8A,0.363756143095986,0.362791083369142,-0.503785211587882,exc
PTGDS,0.247270686284873,0.247425198453084,8.28200810812498,exc
PFKFB3,0.749948264747525,0.748932160330491,-7.14018165490287,exc
CALHM1,0.0304471265719701,0.0305553670910886,-15.7381120965228,exc
CTSD,0.332832605565969,0.332859910592457,4.4474631411433,exc
LDHA,0.345667414532619,0.344053192211141,-15.3603270020732,exc
SLC1A2,0.656461546936157,0.65657854068194,-8.11024113731624,exc
BEST1,0.0271077835129055,0.0270393739964267,-3.12167136966517,exc
FTH1,0.77188550058137,0.770165321030373,-14.6290458256626,exc
NPAS4,0.0139067336222567,0.0066399800981523,-64.0888219742664,exc
PANX1,0.118724588313937,0.118592396589547,-14.9807317790748,exc
SLC2A3,0.437025170875212,0.432438504044448,-9.90142520548801,exc
LDHB,0.555133402512175,0.553729711800137,-2.18146728877684,exc
SLC16A7,0.89952046259504,0.900471161167274,2.267816798656,exc
TMEM119,0.00206196617779955,0.0020670782730624,43.7229515340033,exc
GJB6,0.00555465401398564,0.00558759451493016,21.6490300390446,exc
LAMP1,0.524939369261667,0.524149836789772,-5.29694441421273,exc
FOS,0.0187497487676588,0.0131216500441007,-47.6670458408404,exc
PKM,0.818104807433202,0.817359838975959,-7.48810200528426,exc
ATP6V0C,0.690469845419532,0.688821041680802,-7.20776817973975,exc
ALDOA,0.0657342907208544,0.0640899804750812,-19.0099971301943,exc
ATP6V0D1,0.518594170814172,0.517586750194118,-6.11529634071847,exc
ATP6V0A1,0.936731135987042,0.936666892824027,-3.8946474045477,exc
SLC16A3,0.0917016655029336,0.0907871029996005,-36.379954742669,exc
AQP4,0.150694741167415,0.151495277080459,-1.99494514392349,exc
MBP,0.800878084947051,0.801347897867336,-0.992426319931417,exc
JUNB,0.118413432406962,0.112620334562122,-19.9672806132023,exc
FTL,0.538578121720022,0.536867419016819,-11.9806490503724,exc
SNAP25,0.997232350090593,0.99720771045827,-0.0962859528430116,exc
ATP6V1E1,0.648438488645787,0.647087470128382,-6.5197507500141,exc
SLC16A8,0.0153047020272775,0.0152535600937799,-30.0890622564439,exc
PANX2,0.191289421145798,0.19126278731408,-16.8456390203439,exc
PLP1,0.249442822496721,0.250763281090983,-6.80583075669261,exc
LAMP2,0.541496138838063,0.541502137187055,-3.96150841039412,exc
