gene,rho
GSDME,-0.125838826020885
C7orf31,0.114831556912219
SNX10,-0.324853178232844
CPVL,0.111019439595763
AOAH,-0.195447199953218
HECW1,-0.0070519237114077
SPDYE1,0.0434265124966221
PGAM2,0.0598785388075452
TBRG4,0.000848554178421645
UPP1,-0.298969789552309
ZNF92,-0.11414058865988
GALNT17,0.211037470214059
BCL7B,-0.012786451365336
LAT2,-0.0838042556340518
SPDYE5,0.0278661212780871
MDH2,-0.0430594343808775
TMEM243,0.243318369554031
TP53TG1,-0.0609865622134469
DBF4,0.0949469558640341
CDK6,-0.0100497919349776
PON1,0.314286971728721
ARPC1B,-0.210918415672329
ATP5MF,-0.0711858737152644
ZSCAN21,0.0556441303372188
MEPCE,0.0161538651889797
CLDN15,0.177016604188716
IFT22,-0.176360773294004
COL26A1,-0.0453943439380945
SH2B2,-0.109842350718845
ORAI2,0.173996548975159
SPDYE2,0.220675648225779
LRRC17,0.0184934994674845
LHFPL3,0.128378931216534
DUS4L,-0.0865976688236183
SLC26A3,-0.0033721792166227
DNAJB9,0.16720004643547
SMIM30,0.18542724560265
FOXP2,0.129791614528924
ANKRD7,-0.247806304748332
IMPDH1,-0.187497863241781
TSPAN33,0.0132837615880068
DGKI,0.0649446595406591
PARP12,0.02369610627085
CASP2,0.00777693233193762
ZYX,-0.201805791717304
ZNF212,-0.32392560594587
ZNF777,-0.289328613275545
TMUB1,0.380614486633554
ABCF2,-0.313592584850198
NCAPG2,0.0879244735209958
ANGPT2,0.184970783367653
NEIL2,-0.398630024982998
SH2D4A,0.0275116431535539
POLR3D,-0.198482237385663
CHMP7,-0.309487469436884
ADAM28,-0.230377818753286
TRIM35,-0.61101573193366
DCTN6,0.232918353260706
NRG1,0.178451407691968
LSM1,0.256003001117469
LETM2,-0.0442197032015679
POMK,-0.170576371705571
GGH,0.207766472508201
MYBL1,0.168879548885558
COPS5,0.0505949824908854
LACTB2,-0.0538080930128628
XKR9,-0.156331337725112
HEY1,-0.120870888685624
TMEM64,-0.165550949202476
SLC26A7,0.112284668432889
DCAF13,-0.502527985237539
RIMS2,0.0964075584163254
TMEM74,0.405781320329137
MED30,0.0611952475148832
TRMT12,0.336166813878231
RNF139,-0.120922426740758
TRIB1,-0.211649690300987
CCDC26,0.245839860164874
CHRAC1,0.360682758207085
JRK,0.0725455732159317
ZNF696,-0.0819022631843017
TOP1MT,0.267233886034401
NAPRT,0.22954973392193
BOP1,0.113275843151309
ADCK5,-0.0258838228433122
LRRC24,0.0540910060849824
ZNF34,0.256506516535706
AF235103.3,-0.130903559966415
C8orf33,-0.2554134975701
DMAC1,-0.00592655367125069
SH3GL2,0.359742907273894
ADAMTSL1,0.135790663574289
SAXO1,-0.136127614180617
SLC24A2,0.356710719431085
DNAJB5,0.281461157721395
TESK1,0.210547005687444
CCDC107,-0.0153672327124773
NPR2,0.200750032742901
TOMM5,-0.157828865598602
ANKRD20A4,0.0860427476831357
CBWD3,0.369062606825328
GCNT1,0.103742595305949
GAS1RR,-0.0716172948826097
ECM2,0.390707151225178
TMOD1,0.596916900370654
TRMO,-0.0813023547759231
ALG2,0.0017402661217417
FRRS1L,0.0286672306082064
SUSD1,-0.123368949387798
ZFP37,-0.0296923642546096
PRPF4,-0.228922443631856
PAPPA,0.0573860281595828
RBM18,-0.432020826752756
PDCL,0.272828896868371
ARPC5L,-0.0774864893810898
DPM2,-0.078978863187416
C9orf16,-0.0361843463686554
WDR34,0.182809365969886
NTMT1,-0.24815300407569
C9orf78,-0.213283751634664
HMCN2,0.0657528499764465
ASS1,0.0864369296456305
UCK1,0.291885656393612
GBGT1,-0.241643364075199
SURF6,0.0618727160376561
SURF1,-0.109044139783903
CACFD1,0.228825128831229
SLC2A6,-0.102045225767281
ADAMTSL2,-0.0931897349113361
SARDH,0.0629421093878378
COL5A1,0.39079512263133
PPP1R26,-0.0577760863574344
MRPS2,0.278082839309749
SSNA1,0.173045170308962
NDOR1,0.159824131817759
NRARP,-0.122024456691899
SUV39H2,-0.378828283305355
COMMD3,0.173777931628766
ARMC4,-0.0661374076717082
SVIL,0.0461045163095277
ZNF22,-0.121435732332345
PCDH15,0.16391660136825
RHOBTB1,0.0569531726578054
CABCOCO1,0.250758689758204
NRBF2,-0.376693242226041
SRGN,0.145199437434517
HKDC1,-0.151040768929719
PCBD1,0.0498277144148771
SLC29A3,0.132069485303923
MSS51,0.2240644002921
SFTPD,-0.0232467977006876
MYOF,-0.0466237887274223
SLC35G1,0.0814195719819229
SLIT1,-0.264886705898792
ZDHHC16,-0.0623964691144707
SEMA4G,0.0368208115979115
SFXN3,0.220335258624553
DPCD,0.0309833489445405
NOLC1,-0.335226187584392
NFKB2,-0.139732065536002
MFSD13A,0.0735653899549299
SFXN2,-0.23928817605959
ITPRIP,0.3842661559735
SORCS3,0.192441804794316
SORCS1,-0.0158606723152227
PAOX,0.0813685092115713
BET1L,-0.240772652490708
RIC8A,0.147047919703422
HRAS,-0.0971877331487842
CEND1,-0.0507250451287329
POLR2L,-0.133569112515265
KCNQ1OT1,-0.294267603427118
RRM1,0.0417213745088972
TRIM5,0.282540156752939
CNGA4,-0.164309159260596
TRIM3,-0.0582885954515084
ARFIP2,0.0952274579754498
TIMM10B,-0.0804990976633523
TAF10,0.0788321218874223
DCHS1,0.123554545151898
ZNF214,0.114122867893659
AKIP1,0.225853837653664
ADM,-0.0679199631099096
USH1C,0.203129193834786
HTATIP2,0.0893974734932809
CCDC34,-0.181284620050079
FJX1,-0.0656595422572416
COMMD9,0.165083431441031
PEX16,-0.185016936339161
PSMC3,-0.00308644290246431
SLC43A3,0.380302253317989
UBE2L6,-0.070164831569933
MED19,-0.14407661979063
STX3,0.301238823570759
MRPL16,-0.0555095052619333
CYB561A3,0.325693888328829
TMEM138,0.174704530816422
PPP1R32,0.164597067965308
TMEM258,-0.0639954716453139
TUT1,-0.0679356105402225
UBXN1,0.272035192277945
TMEM223,-0.133680558864492
C11orf95,-0.114593848893637
DNAJC4,-0.0775284139939949
PPP1R14B,0.206520221616671
BAD,0.114090378489497
ZFPL1,0.247251539875849
SYVN1,0.00739190313003097
POLA2,0.132901821518335
FRMD8,-0.267639502484941
SIPA1,0.0479279622782366
RNASEH2C,0.232104798683034
FIBP,-0.315808076151983
