"gene","detect","detect_all","pct"
"SLC35E2A",0.223627054380439,0.222934187691897,19.7309749829765
"NADK",0.211177620874446,0.211424079265489,3.24191076918632
"GNB1",0.667000044782135,0.667482460434002,0.389635776066943
"AL109917.1",0.0031795315788688,0.00323350984143936,-37.121962212884
"CALML6",0.00403039214222806,0.00401963838087186,20.0754812273138
"TMEM52",0.002776492364646,0.00278853142289266,-26.618721570148
"CFAP74",0.0299293935006195,0.0299173823402898,3.75876401061528
"AL391845.2",0.00153751996536848,0.00152775923701034,-11.1911813098524
"GABRD",0.030078667283665,0.0299767127960961,-6.66270701628747
"PRKCZ",0.0738755952292099,0.0738070870229461,-11.9028691261619
"AL590822.2",0.00492603484050096,0.00490959521796526,-10.7922979820363
"PRKCZ-AS1",0.00710543207296503,0.00711965469674721,17.3095809721254
"FAAP20",0.172500783687361,0.172028656610154,7.63392139750951
"AL590822.1",0.014643758116762,0.0146101247422833,2.96587857899819
"SKI",0.453732590945052,0.454471291475697,-2.24754566515537
"AL590822.3",0.00238838052872774,0.00238805084620063,-26.1984314631562
"MORN1",0.172381364660925,0.172280811047331,2.16945622369773
"AL589739.1",0.00208983296263677,0.00207656595321794,18.1299032016319
"AL513477.2",0.0103148184084429,0.0103086666963319,-0.024983125357958
"RER1",0.19533967249332,0.195686675862887,-3.65385689975082
"PEX10",0.0634413577943306,0.063973063973064,-5.75647420431031
"PLCH2",0.0379304682718574,0.0376896720509055,1.88044935321521
"AL139246.1",0.000164201161350032,0.00017799136741868,46.2774924999283
"AL139246.4",2.98547566090967e-05,2.96652279031134e-05,-100
"PANK4",0.0593512561388843,0.0592266275085658,-0.195800012427361
"HES5",0.0727858966129779,0.0723683234696451,-6.81314114676975
"AL139246.5",0.0241226433401502,0.0239991693736187,26.6240905926357
"TNFRSF14-AS1",0.00198534131450493,0.00197273765555704,-13.5776898032219
"TNFRSF14",0.0462450179874909,0.0463519185986146,-16.1764222050128
"AL139246.3",0.00210476034094132,0.00209139856716949,7.34449956654017
"PRXL2B",0.0381991610813393,0.038075320013646,19.0346427001292
"MMEL1",0.0209729665178905,0.0209881487414527,2.47440945726691
"AL831784.1",8.95642698272902e-05,8.89956837093401e-05,-83.1367834178305
"TTC34",0.0891164484781538,0.088832524955873,-1.34009736174299
"AC242022.2",0.00574704064725112,0.00574022159925244,-6.05560941822548
"AC242022.1",0.000313474944395516,0.00031148489298269,5.98539266766847
"AL592464.3",8.95642698272902e-05,8.89956837093401e-05,123.608676961011
"AL589702.1",0.000806078428445612,0.000815793767335618,48.1513347918094
"PRDM16-DT",0.480691436163067,0.479330752458506,-3.16755761757535
"PRDM16",0.916481318386052,0.916017739806286,6.04579805445224
"AL008733.1",0.000119419026436387,0.000118660911612453,-74.4363099894257
"AL590438.1",0.00794136525801973,0.00795028107803438,-24.396008139011
"AL354743.2",0.0336015285635384,0.0340408490188226,-38.6148506080909
"AL354743.1",0.00558283948590109,0.00568089114344621,-32.359022683463
"ARHGEF16",0.0286456389664283,0.0284934514009404,22.9891621262932
"AL512413.1",0.000761296293531967,0.000756463311529391,63.2132291904178
"MEGF6",0.0377961218671165,0.0377786677346149,-7.95714750140727
"AL513320.1",0.0107924945141885,0.0108278081846364,-20.510245362881
"TPRG1L",0.0572166410413339,0.0571500615553479,4.61477330154882
"WRAP73",0.079921183442552,0.0799922870407452,-12.5791652712479
"TP73",0.00267200071651416,0.0026698705112802,-24.5288809772029
"AL136528.1",0.000268692809481871,0.000281819665079577,89.9632869971734
"AL136528.2",7.46368915227419e-05,7.41630697577834e-05,-82.907562889618
"CCDC27",0.00219432461076861,0.00218039425087883,-33.3254039111304
"SMIM1",0.00170172112671851,0.00170575060442902,-28.796374248994
"LRRC47",0.0866982131928169,0.0866372980910426,-5.9272524749537
"AL365330.1",0.000313474944395516,0.00031148489298269,0.57635367854969
"CEP104",0.287620725172038,0.287263234399798,1.89866003365526
"DFFB",0.0985505515666284,0.0983698957267239,0.00509747501700186
"C1orf174",0.0368109148990163,0.0367997152138121,2.48083776172685
"LINC01134",0.0113448075114568,0.0112876192171346,20.8434181380031
"LINC01346",0.000671732023704677,0.000667467627820051,26.3719810586521
"LINC02780",0.00161215685689122,0.00160192230676812,18.8837566689778
"AL805961.1",0.00406024689883716,0.00407896883667809,1.34968317273578
"LINC01777",0.000223910674568226,0.00022248920927335,-29.9863949580087
"AL355602.1",2.98547566090967e-05,2.96652279031134e-05,-100
"AJAP1",0.0989386634025466,0.098533054480191,50.3690906665729
"Z98886.1",0.00438864922153722,0.00439045372966078,12.633174657375
"LINC02781",0.000149273783045484,0.000148326139515567,-76.3131201818575
"LINC02782",4.47821349136451e-05,4.449784185467e-05,5.29766711936792
"AL139823.1",0.000104491648131839,0.000103828297660897,-40.7532110666059
"Z98259.3",0.000850860563359257,0.000845458995238731,7.83377024999969
"AL365255.1",0.0463196548790136,0.0460700989335351,20.0383062828451
"NPHP4",0.287411741875774,0.287930702027618,-5.06660751374859
"KCNAB2",0.120866982131928,0.121345614737685,-10.359175121391
"CHD5",0.135704796166649,0.135362434921906,13.9621806743957
"RPL22",0.193712588258124,0.193966092644507,-14.3220574043213
"AL031847.1",0.000656804645400128,0.000667467627820051,-15.2422087638394
"RNF207",0.0455285038288725,0.0454174639196666,-1.43819726973099
"ICMT",0.0481109402755594,0.0481318322728014,5.4599683831458
"LINC00337",0.000925497454881999,0.000919622064996514,88.8753331427469
"GPR153",0.00510516338015554,0.0051024191993355,3.68466085521217
"ACOT7",0.196115896165157,0.196324478262804,-1.55346404738239
"AL031848.2",0.00443343135645087,0.00442011895756389,-25.2345314483969
"HES2",0.00594109656521025,0.00594787819457423,13.6336840941398
"ESPN",0.00485139794897822,0.00487992999006215,10.1072293956896
"AL031848.1",0.000268692809481871,0.00026698705112802,-51.9822685860808
"TNFRSF25",0.0708751921899957,0.0705439119536036,0.521937548570772
"PLEKHG5",0.0427221567076174,0.0425992672688708,-2.48811312258113
"NOL9",0.192966219342897,0.192883311826043,-4.41606790189937
"TAS1R1",0.0225254138615635,0.0225010753645115,-25.3035109897365
"ZBTB48",0.103790061351525,0.103590975837672,-6.64279575894182
"KLHL21",0.340359152722007,0.340586481555645,3.21774511885666
"PHF13",0.0856532967114986,0.0856583455702398,1.55333153511135
"THAP3",0.0777417862100879,0.0778267254038179,-0.546397917906383
"DNAJC11",0.278813571972355,0.278793811833459,3.84508810662809
"LINC01672",0.00168679374841397,0.00169091799047746,-2.10160514930107
"AL591163.1",0.00334373274021884,0.00339666859490648,-28.9817931279857
"CAMTA1-DT",0.0387216193219985,0.0386686245717083,-2.16256276288124
"CAMTA1",0.962532280455584,0.962221332265385,4.45051381647499
"AL512330.1",0.029018823424042,0.0291164211869058,-34.7460791729352
"CAMTA1-IT1",0.00304518517412787,0.00302585324611756,26.7856513652771
"Z97987.1",0.00589631443029661,0.005888547738768,-17.4440569726196
"AL365194.1",0.000164201161350032,0.000163158753467124,66.0024283925501
"AL359881.3",0.00376169933274619,0.00373781871579228,10.2968192559955
"AL359881.2",0.00197041393620039,0.00197273765555704,55.7096191994749
"AL359881.1",0.00606051559164664,0.00603687387828357,0.591544951606204
"VAMP3",0.129420369900434,0.129548050252896,-3.07848291075309
"Z98884.2",0.00161215685689122,0.00166125276257435,24.4362968615971
"PER3",0.736949739517249,0.735267506192616,2.76202746641987
"Z98884.1",0.0349599199892523,0.034930805855916,-19.3041269248612
"UTS2",0.00470212416593274,0.00468710600869191,-5.01859363448938
"TNFRSF9",0.00326909584869609,0.00326317506934247,-5.14948624475388
"PARK7",0.196175605678375,0.195953662914015,-7.77696354857202
"AL034417.4",0.0241972802316729,0.0242216585828921,-27.5549181598284
"AL034417.3",0.0188831335552537,0.018970913244041,0.375577719063735
"ERRFI1",0.290650982967861,0.291594357673653,-1.29191778490512
"AL034417.2",0.116075293696168,0.115605393138433,4.97250178262385
"LINC01714",0.000477676105745548,0.000474643646449814,112.453891186769
"SLC45A1",0.062172530638444,0.0620003263175069,5.78612810323149
"RERE",0.951023271782777,0.950889215206396,-1.69971123971849
"RERE-AS1",0.0282575271305101,0.0282561295777155,-35.0350620817407
"AL357552.2",0.00102998910301384,0.00103828297660897,-28.7452177984031
"ENO1",0.585884671075219,0.586451890416648,-5.68152022719257
"ENO1-AS1",0.00434386708662358,0.00431629065990299,-2.71621276360986
"CA6",0.00244809004194593,0.00246221391595841,3.09762817602361
"SLC2A7",0.00102998910301384,0.00102345036265741,30.5765261756696
"SLC2A5",0.0191219716081265,0.0193268959788784,-51.0327424332867
"GPR157",0.0352435401770387,0.0354351147302689,14.7480221254308
"MIR34AHG",0.151766655222343,0.153413726100951,22.4583461732888
"LNCTAM34A",0.0369751160603663,0.0372298610184073,32.5127288876122
"H6PD",0.293576749115553,0.293463267031549,1.07948884662026
"SPSB1",0.0705318624889911,0.0734362716741571,-25.2957358804568
"BX323043.1",0.000895642698272902,0.000889956837093401,-27.1554905257561
"LINC02606",0.0113746622680659,0.0113617822868924,-16.225868481779
"AL928921.1",0.00017912853965458,0.00017799136741868,0.439624386363135
"SLC25A33",0.511456762848741,0.51052373959863,1.73270717242677
"TMEM201",0.0470809511725456,0.0469897209985316,10.138152377219
"PIK3CD",0.0818169604872296,0.0818315311707382,10.841072898864
"PIK3CD-AS1",4.47821349136451e-05,4.449784185467e-05,-32.8803345168988
"PIK3CD-AS2",0.00288098401277784,0.002877527106602,20.1544973223833
"CLSTN1",0.594885880192862,0.5940906866017,4.24128465585201
"CTNNBIP1",0.331268379334537,0.330307480087216,8.04488275927875
"AL357140.1",0.00322431371378245,0.00323350984143936,-21.1948570917058
"AL357140.4",0.00812049379767431,0.00809860721754995,-23.0112651728541
"LZIC",0.157021092385544,0.157077381746985,2.8312377591527
"AL357140.2",0.000985206968100193,0.000993785134754298,-31.5057335457021
"NMNAT1",0.143019211535878,0.142956733265103,11.6540447984604
"RBP7",0.00626949888791032,0.00622969785965381,-12.6302880499701
"UBE4B",0.660835037542356,0.660896779839511,3.07709042395283
"KIF1B",0.971160305115613,0.97083908097124,2.19780070528681
"AL139424.3",0.0316758967622516,0.0315786351028642,-10.59110384804
"AL139424.2",0.0732187905838098,0.0729171301858526,5.73259723955164
"PGD",0.21782030421997,0.21829157952506,8.2814299001468
"AL139424.1",2.98547566090967e-05,2.96652279031134e-05,-100
"CENPS",0.0459912525563135,0.0458624423382133,-2.81147370360727
"CORT",0.00986699705930647,0.00983402304988208,0.512548941473923
"DFFA",0.194324610768611,0.194040255714265,5.64963989178855
"AL354956.1",0.000671732023704677,0.000667467627820051,-13.0135194806868
"PEX14",0.439835201743518,0.440068823328735,0.0248411646577074
"AL139423.2",0.00303025779582332,0.00308518370192379,-43.9560505110728
"CASZ1",0.0500664268334552,0.0506978744864207,5.44413529599088
"AL139423.1",0.00195548655789584,0.00204690072531482,-13.2458590859204
"C1orf127",0.0014181009389321,0.00140909832539788,-6.01665216407781
"TARDBP",0.28112731560956,0.280870377786677,-1.94474636137661
"MASP2",0.00992670657252467,0.00996751657544609,-26.9645770624647
"AL109811.2",0.0808168261408249,0.080600424212759,-3.11470125964578
"SRM",0.100700094042483,0.100683783503167,0.112093499966881
"EXOSC10",0.39002254034124,0.390082914311989,0.840713294152895
"AL109811.1",0.0713827230523503,0.0714487014046485,-15.2791631646592
"EXOSC10-AS1",0.00343329701004613,0.00344116643676115,-32.8107276594979
"MTOR",0.455897060799212,0.455657900591821,1.15651565528243
"MTOR-AS1",0.00344822438835067,0.00350049689256738,-39.8214703323064
"ANGPTL7",0.00749354390888328,0.00756463311529391,-23.7976068671795
"UBIAD1",0.100744876177397,0.1005206247497,4.16155948038011
"AL031291.1",0.00346315176665522,0.00347083166466426,-30.1052501963157
"DISP3",0.154155035751071,0.153591717468369,-15.8123474666341
"AL590989.1",0.000223910674568226,0.00022248920927335,-20.3552187606282
"LINC01647",0.000164201161350032,0.000163158753467124,-80.7307353569071
"AL031731.1",0.0404681225836306,0.0404040404040404,-18.3119706168787
"FBXO2",0.342538549954471,0.341431940550883,9.48343043907616
